shrid2,park_status10,park_status20,park_status30
11-01-001-00001-000125,contaminator,contaminator,contaminator
11-01-001-00001-000126,contaminator,contaminator,contaminator
11-01-001-00001-000127,contaminator,contaminator,contaminator
11-01-001-00001-000128,contaminator,contaminator,contaminator
11-01-001-00001-800001,contaminator,contaminator,contaminator
11-01-001-00002-000129,contaminator,contaminator,contaminator
11-01-001-00002-000130,contaminator,contaminator,contaminator
11-01-001-00002-000131,contaminator,contaminator,contaminator
11-01-001-00002-000132,contaminator,contaminator,contaminator
11-01-001-00002-000133,contaminator,contaminator,contaminator
11-01-001-00002-000134,contaminator,contaminator,contaminator
11-01-001-00002-000135,contaminator,contaminator,contaminator
11-01-001-00002-000136,contaminator,contaminator,contaminator
11-01-001-00002-000137,contaminator,contaminator,contaminator
11-01-001-00002-000138,contaminator,contaminator,contaminator
11-01-001-00002-000139,contaminator,contaminator,contaminator
11-01-001-00002-000140,contaminator,contaminator,contaminator
11-01-001-00002-000141,contaminator,contaminator,contaminator
11-01-001-00002-000142,contaminator,contaminator,contaminator
11-01-001-00002-000143,control,contaminator,contaminator
11-01-001-00002-000144,control,contaminator,contaminator
11-01-001-00002-000145,contaminator,contaminator,contaminator
11-01-001-00002-000146,contaminator,contaminator,contaminator
11-01-001-00002-000147,contaminator,contaminator,contaminator
11-01-001-00002-000148,contaminator,contaminator,contaminator
11-01-001-00002-000149,contaminator,contaminator,contaminator
11-01-001-00002-000150,contaminator,contaminator,contaminator
11-01-001-00002-000151,contaminator,contaminator,contaminator
11-01-001-00002-000152,contaminator,contaminator,contaminator
11-01-001-00002-000153,contaminator,contaminator,contaminator
11-01-001-00002-000154,contaminator,contaminator,contaminator
11-01-001-00002-000155,contaminator,contaminator,contaminator
11-01-001-00002-000156,contaminator,contaminator,contaminator
11-01-001-00002-000157,contaminator,contaminator,contaminator
11-01-001-00002-000158,contaminator,contaminator,contaminator
11-01-001-00002-000159,contaminator,contaminator,contaminator
11-01-001-00002-000161,contaminator,contaminator,contaminator
11-01-001-00002-000162,contaminator,contaminator,contaminator
11-01-001-00002-000163,contaminator,contaminator,contaminator
11-01-001-00002-000164,contaminator,contaminator,contaminator
11-01-001-00002-000165,contaminator,contaminator,contaminator
11-01-001-00002-000166,contaminator,contaminator,contaminator
11-01-001-00002-000167,contaminator,contaminator,contaminator
11-01-001-00002-000168,contaminator,contaminator,contaminator
11-01-001-00002-000169,contaminator,contaminator,contaminator
11-01-001-00002-000170,contaminator,contaminator,contaminator
11-01-001-00002-000171,contaminator,contaminator,contaminator
11-01-001-00002-000172,contaminator,contaminator,contaminator
11-01-001-00002-000173,contaminator,contaminator,contaminator
11-01-001-00002-000174,treated,treated,treated
11-01-001-00002-000175,contaminator,contaminator,contaminator
11-01-001-00002-000176,contaminator,contaminator,contaminator
11-01-001-00002-000177,contaminator,contaminator,contaminator
11-01-001-00002-000178,contaminator,contaminator,contaminator
11-01-001-00002-000179,contaminator,contaminator,contaminator
11-01-001-00002-000180,contaminator,contaminator,contaminator
11-01-001-00002-000181,contaminator,contaminator,contaminator
11-01-001-00002-000182,contaminator,contaminator,contaminator
11-01-001-00002-000183,contaminator,contaminator,contaminator
11-01-001-00002-000184,contaminator,contaminator,contaminator
11-01-001-00002-000185,contaminator,contaminator,contaminator
11-01-001-00002-000186,contaminator,contaminator,contaminator
11-01-001-00002-000187,contaminator,contaminator,contaminator
11-01-001-00002-000188,contaminator,contaminator,contaminator
11-01-001-00002-000189,contaminator,contaminator,contaminator
11-01-001-00002-000190,contaminator,contaminator,contaminator
11-01-001-00002-000191,contaminator,contaminator,contaminator
11-01-001-00002-000192,contaminator,contaminator,contaminator
11-01-001-00002-000193,contaminator,contaminator,contaminator
11-01-001-00002-000194,contaminator,contaminator,contaminator
11-01-001-00002-000195,contaminator,contaminator,contaminator
11-01-001-00002-000196,contaminator,contaminator,contaminator
11-01-001-00002-000197,contaminator,contaminator,contaminator
11-01-001-00002-000198,contaminator,contaminator,contaminator
11-01-001-00002-000199,contaminator,contaminator,contaminator
11-01-001-00002-000200,contaminator,contaminator,contaminator
11-01-001-00002-000201,contaminator,contaminator,contaminator
11-01-001-00002-000202,contaminator,contaminator,contaminator
11-01-001-00002-000203,contaminator,contaminator,contaminator
11-01-001-00002-000204,contaminator,contaminator,contaminator
11-01-001-00002-000205,contaminator,contaminator,contaminator
11-01-001-00002-000206,contaminator,contaminator,contaminator
11-01-001-00002-000207,contaminator,contaminator,contaminator
11-01-001-00002-000208,contaminator,contaminator,contaminator
11-01-001-00002-000209,contaminator,contaminator,contaminator
11-01-001-00002-000210,contaminator,contaminator,contaminator
11-01-001-00002-000211,treated,treated,treated
11-01-001-00002-000212,contaminator,contaminator,contaminator
11-01-001-00002-000213,contaminator,contaminator,contaminator
11-01-001-00002-000214,contaminator,contaminator,contaminator
11-01-001-00002-000215,contaminator,contaminator,contaminator
11-01-001-00002-000216,contaminator,contaminator,contaminator
11-01-001-00002-000217,contaminator,contaminator,contaminator
11-01-001-00002-000218,contaminator,contaminator,contaminator
11-01-001-00002-000219,contaminator,contaminator,contaminator
11-01-001-00002-000220,contaminator,contaminator,contaminator
11-01-001-00002-000221,contaminator,contaminator,contaminator
11-01-001-00002-000222,contaminator,contaminator,contaminator
11-01-001-00002-000223,contaminator,contaminator,contaminator
11-01-001-00002-000224,contaminator,contaminator,contaminator
11-01-001-00002-000225,contaminator,contaminator,contaminator
11-01-001-00002-000226,contaminator,contaminator,contaminator
11-01-001-00002-000227,contaminator,contaminator,contaminator
11-01-001-00002-000228,contaminator,contaminator,contaminator
11-01-001-00002-000229,contaminator,contaminator,contaminator
11-01-001-00002-000230,contaminator,contaminator,contaminator
11-01-001-00002-000231,contaminator,contaminator,contaminator
11-01-001-00002-000232,contaminator,contaminator,contaminator
11-01-001-00002-000233,contaminator,contaminator,contaminator
11-01-001-00002-000234,contaminator,contaminator,contaminator
11-01-001-00002-000235,contaminator,contaminator,contaminator
11-01-001-00002-000236,contaminator,contaminator,contaminator
11-01-001-00002-000237,contaminator,contaminator,contaminator
11-01-001-00002-000238,contaminator,contaminator,contaminator
11-01-001-00002-000239,contaminator,contaminator,contaminator
11-01-001-00002-000240,contaminator,contaminator,contaminator
11-01-001-00002-000241,contaminator,contaminator,contaminator
11-01-001-00002-000242,contaminator,contaminator,contaminator
11-01-001-00002-000243,contaminator,contaminator,contaminator
11-01-001-00002-000244,contaminator,contaminator,contaminator
11-01-001-00002-000245,contaminator,contaminator,contaminator
11-01-001-00002-000246,control,contaminator,contaminator
11-01-001-00002-000247,control,contaminator,contaminator
11-01-001-00002-000248,control,contaminator,contaminator
11-01-001-00002-000249,control,contaminator,contaminator
11-01-001-00002-000250,contaminator,contaminator,contaminator
11-01-001-00002-000251,contaminator,contaminator,contaminator
11-01-001-00002-000252,contaminator,contaminator,contaminator
11-01-001-00002-000253,contaminator,contaminator,contaminator
11-01-001-00002-000254,contaminator,contaminator,contaminator
11-01-001-00002-000255,control,contaminator,contaminator
11-01-001-00002-000256,control,contaminator,contaminator
11-01-001-00002-000257,control,contaminator,contaminator
11-01-001-00002-000258,control,contaminator,contaminator
11-01-001-00002-000259,contaminator,contaminator,contaminator
11-01-001-00002-000260,control,contaminator,contaminator
11-01-001-00002-000261,contaminator,contaminator,contaminator
11-01-001-00002-000262,contaminator,contaminator,contaminator
11-01-001-00002-000263,contaminator,contaminator,contaminator
11-01-001-00002-000264,contaminator,contaminator,contaminator
11-01-001-00002-000265,contaminator,contaminator,contaminator
11-01-001-00002-000266,contaminator,contaminator,contaminator
11-01-001-00002-000267,contaminator,contaminator,contaminator
11-01-001-00002-000268,contaminator,contaminator,contaminator
11-01-001-00002-000269,contaminator,contaminator,contaminator
11-01-001-00002-000270,contaminator,contaminator,contaminator
11-01-001-00002-000271,contaminator,contaminator,contaminator
11-01-001-00002-000272,contaminator,contaminator,contaminator
11-01-001-00002-000273,contaminator,contaminator,contaminator
11-01-001-00002-000274,contaminator,contaminator,contaminator
11-01-001-00002-000275,contaminator,contaminator,contaminator
11-01-001-00002-000276,contaminator,contaminator,contaminator
11-01-001-00002-000277,contaminator,contaminator,contaminator
11-01-001-00002-000278,contaminator,contaminator,contaminator
11-01-001-00002-000279,contaminator,contaminator,contaminator
11-01-001-00002-000280,contaminator,contaminator,contaminator
11-01-001-00002-000281,contaminator,contaminator,contaminator
11-01-001-00002-000282,contaminator,contaminator,contaminator
11-01-001-00002-000283,contaminator,contaminator,contaminator
11-01-001-00002-000284,contaminator,contaminator,contaminator
11-01-001-00002-000285,contaminator,contaminator,contaminator
11-01-001-00002-000286,contaminator,contaminator,contaminator
11-01-001-00002-000287,contaminator,contaminator,contaminator
11-01-001-00002-000288,contaminator,contaminator,contaminator
11-01-001-00002-000289,contaminator,contaminator,contaminator
11-01-001-00002-000290,contaminator,contaminator,contaminator
11-01-001-00002-000291,contaminator,contaminator,contaminator
11-01-001-00002-000292,contaminator,contaminator,contaminator
11-01-001-00002-000293,contaminator,contaminator,contaminator
11-01-001-00002-000294,contaminator,contaminator,contaminator
11-01-001-00002-000295,contaminator,contaminator,contaminator
11-01-001-00002-000296,contaminator,contaminator,contaminator
11-01-001-00002-000297,contaminator,contaminator,contaminator
11-01-001-00002-000298,contaminator,contaminator,contaminator
11-01-001-00002-000299,contaminator,contaminator,contaminator
11-01-001-00002-000300,contaminator,contaminator,contaminator
11-01-001-00002-000301,contaminator,contaminator,contaminator
11-01-001-00002-000302,contaminator,contaminator,contaminator
11-01-001-00002-000303,contaminator,contaminator,contaminator
11-01-001-00002-000304,contaminator,contaminator,contaminator
11-01-001-00002-000305,contaminator,contaminator,contaminator
11-01-001-00002-000306,contaminator,contaminator,contaminator
11-01-001-00002-000308,contaminator,contaminator,contaminator
11-01-001-00002-000309,contaminator,contaminator,contaminator
11-01-001-00002-000310,contaminator,contaminator,contaminator
11-01-001-00002-000311,contaminator,contaminator,contaminator
11-01-001-00002-000312,contaminator,contaminator,contaminator
11-01-001-00002-000313,contaminator,contaminator,contaminator
11-01-001-00002-000314,contaminator,contaminator,contaminator
11-01-001-00002-000315,contaminator,contaminator,contaminator
11-01-001-00002-000316,contaminator,contaminator,contaminator
11-01-001-00002-000317,contaminator,contaminator,contaminator
11-01-001-00002-000318,contaminator,contaminator,contaminator
11-01-001-00002-000319,contaminator,contaminator,contaminator
11-01-001-00002-000320,contaminator,contaminator,contaminator
11-01-001-00002-000321,contaminator,contaminator,contaminator
11-01-001-00002-000322,contaminator,contaminator,contaminator
11-01-001-00002-000323,contaminator,contaminator,contaminator
11-01-001-00002-000324,contaminator,contaminator,contaminator
11-01-001-00002-000325,contaminator,contaminator,contaminator
11-01-001-00002-000326,contaminator,contaminator,contaminator
11-01-001-00002-800002,contaminator,contaminator,contaminator
11-01-001-00003-000329,control,control,control
11-01-001-00003-000330,control,control,control
11-01-001-00003-000331,control,control,control
11-01-001-00003-000332,control,control,control
11-01-001-00003-000333,control,control,control
11-01-001-00003-000334,control,control,control
11-01-001-00003-000335,control,control,control
11-01-001-00003-000336,control,control,contaminator
11-01-001-00003-000337,control,control,contaminator
11-01-001-00003-000338,control,control,contaminator
11-01-001-00003-000339,control,control,contaminator
11-01-001-00003-000340,control,control,contaminator
11-01-001-00003-000341,control,control,contaminator
11-01-001-00003-000342,control,control,control
11-01-001-00003-000343,control,control,control
11-01-001-00003-000344,control,control,control
11-01-001-00003-000345,control,control,control
11-01-001-00003-000346,control,control,control
11-01-001-00003-000347,control,control,control
11-01-001-00003-000348,control,control,control
11-01-001-00003-000349,control,control,control
11-01-001-00003-000350,control,control,control
11-01-001-00003-000351,control,control,control
11-01-001-00003-000352,control,control,control
11-01-001-00003-000353,control,control,control
11-01-001-00003-000354,control,control,control
11-01-001-00003-000355,control,control,control
11-01-001-00003-000356,control,control,control
11-01-001-00003-000357,control,control,control
11-01-001-00003-000358,control,control,control
11-01-001-00003-000359,control,control,control
11-01-001-00003-000360,control,control,control
11-01-001-00003-000361,control,control,control
11-01-001-00003-000362,control,control,control
11-01-001-00003-000364,control,control,control
11-01-001-00003-000365,control,control,control
11-01-001-00003-000366,control,control,control
11-01-001-00003-000367,control,control,control
11-01-001-00003-000369,control,control,contaminator
11-01-001-00003-000370,control,control,control
11-01-002-00004-000371,control,contaminator,contaminator
11-01-002-00004-000372,control,contaminator,contaminator
11-01-002-00004-000373,control,contaminator,contaminator
11-01-002-00004-000374,control,contaminator,contaminator
11-01-002-00004-000375,control,contaminator,contaminator
11-01-002-00004-000376,control,contaminator,contaminator
11-01-002-00004-000377,control,contaminator,contaminator
11-01-002-00004-000378,control,contaminator,contaminator
11-01-002-00004-000379,control,contaminator,contaminator
11-01-002-00004-000380,control,contaminator,contaminator
11-01-002-00004-000381,control,contaminator,contaminator
11-01-002-00004-000382,control,contaminator,contaminator
11-01-002-00004-000383,control,contaminator,contaminator
11-01-002-00004-000384,control,contaminator,contaminator
11-01-002-00004-000385,control,contaminator,contaminator
11-01-002-00004-000386,control,contaminator,contaminator
11-01-002-00004-000387,control,contaminator,contaminator
11-01-002-00004-000388,control,contaminator,contaminator
11-01-002-00004-000389,control,contaminator,contaminator
11-01-002-00004-000390,control,contaminator,contaminator
11-01-002-00004-000391,control,contaminator,contaminator
11-01-002-00004-000392,control,contaminator,contaminator
11-01-002-00004-000393,control,contaminator,contaminator
11-01-002-00004-000394,control,contaminator,contaminator
11-01-002-00004-000395,control,contaminator,contaminator
11-01-002-00004-000396,control,contaminator,contaminator
11-01-002-00004-000397,control,contaminator,contaminator
11-01-002-00004-000398,control,contaminator,contaminator
11-01-002-00004-000399,control,contaminator,contaminator
11-01-002-00004-000400,control,contaminator,contaminator
11-01-002-00004-000401,control,contaminator,contaminator
11-01-002-00004-000402,control,contaminator,contaminator
11-01-002-00004-000403,control,contaminator,contaminator
11-01-002-00004-000404,control,contaminator,contaminator
11-01-002-00004-000405,control,contaminator,contaminator
11-01-002-00004-000406,control,contaminator,contaminator
11-01-002-00004-000407,control,control,contaminator
11-01-002-00004-000408,control,contaminator,contaminator
11-01-002-00004-000409,control,contaminator,contaminator
11-01-002-00004-000410,control,contaminator,contaminator
11-01-002-00004-000411,control,contaminator,contaminator
11-01-002-00004-000412,control,contaminator,contaminator
11-01-002-00004-000413,control,contaminator,contaminator
11-01-002-00004-000414,control,contaminator,contaminator
11-01-002-00004-000415,control,control,contaminator
11-01-002-00004-000416,control,control,contaminator
11-01-002-00004-000417,control,control,contaminator
11-01-002-00004-000418,control,control,contaminator
11-01-002-00004-000523,control,control,contaminator
11-01-002-00005-000419,contaminator,contaminator,contaminator
11-01-002-00005-000420,contaminator,contaminator,contaminator
11-01-002-00005-000421,contaminator,contaminator,contaminator
11-01-002-00005-000422,contaminator,contaminator,contaminator
11-01-002-00005-000423,contaminator,contaminator,contaminator
11-01-002-00005-000424,contaminator,contaminator,contaminator
11-01-002-00005-000425,contaminator,contaminator,contaminator
11-01-002-00005-000426,contaminator,contaminator,contaminator
11-01-002-00005-000427,contaminator,contaminator,contaminator
11-01-002-00005-000428,contaminator,contaminator,contaminator
11-01-002-00005-000429,contaminator,contaminator,contaminator
11-01-002-00005-000430,contaminator,contaminator,contaminator
11-01-002-00005-000431,contaminator,contaminator,contaminator
11-01-002-00005-000432,contaminator,contaminator,contaminator
11-01-002-00005-000433,contaminator,contaminator,contaminator
11-01-002-00005-000434,contaminator,contaminator,contaminator
11-01-002-00005-000435,contaminator,contaminator,contaminator
11-01-002-00005-000436,contaminator,contaminator,contaminator
11-01-002-00005-000437,contaminator,contaminator,contaminator
11-01-002-00005-000438,contaminator,contaminator,contaminator
11-01-002-00005-000439,contaminator,contaminator,contaminator
11-01-002-00005-000440,contaminator,contaminator,contaminator
11-01-002-00005-000441,contaminator,contaminator,contaminator
11-01-002-00005-000442,contaminator,contaminator,contaminator
11-01-002-00005-000443,contaminator,contaminator,contaminator
11-01-002-00005-000444,contaminator,contaminator,contaminator
11-01-002-00005-000445,contaminator,contaminator,contaminator
11-01-002-00005-000446,contaminator,contaminator,contaminator
11-01-002-00005-000447,contaminator,contaminator,contaminator
11-01-002-00005-000448,control,contaminator,contaminator
11-01-002-00005-000449,control,contaminator,contaminator
11-01-002-00005-000450,control,contaminator,contaminator
11-01-002-00005-000451,control,contaminator,contaminator
11-01-002-00005-000452,control,contaminator,contaminator
11-01-002-00005-000453,control,contaminator,contaminator
11-01-002-00005-000454,control,contaminator,contaminator
11-01-002-00005-000455,contaminator,contaminator,contaminator
11-01-002-00005-000456,contaminator,contaminator,contaminator
11-01-002-00005-000457,contaminator,contaminator,contaminator
11-01-002-00005-000458,contaminator,contaminator,contaminator
11-01-002-00005-000459,contaminator,contaminator,contaminator
11-01-002-00005-000460,contaminator,contaminator,contaminator
11-01-002-00005-000461,contaminator,contaminator,contaminator
11-01-002-00005-000462,contaminator,contaminator,contaminator
11-01-002-00005-000463,contaminator,contaminator,contaminator
11-01-002-00005-000464,contaminator,contaminator,contaminator
11-01-002-00005-000465,contaminator,contaminator,contaminator
11-01-002-00005-000466,contaminator,contaminator,contaminator
11-01-002-00005-000467,contaminator,contaminator,contaminator
11-01-002-00005-000468,contaminator,contaminator,contaminator
11-01-002-00005-000470,contaminator,contaminator,contaminator
11-01-002-00005-000471,contaminator,contaminator,contaminator
11-01-002-00005-000472,contaminator,contaminator,contaminator
11-01-002-00005-000473,contaminator,contaminator,contaminator
11-01-002-00005-000474,contaminator,contaminator,contaminator
11-01-002-00005-000475,contaminator,contaminator,contaminator
11-01-002-00005-000476,contaminator,contaminator,contaminator
11-01-002-00005-000477,contaminator,contaminator,contaminator
11-01-002-00005-000478,contaminator,contaminator,contaminator
11-01-002-00005-000479,contaminator,contaminator,contaminator
11-01-002-00005-000481,contaminator,contaminator,contaminator
11-01-002-00005-000482,contaminator,contaminator,contaminator
11-01-002-00005-000483,contaminator,contaminator,contaminator
11-01-002-00005-000484,contaminator,contaminator,contaminator
11-01-002-00005-000485,contaminator,contaminator,contaminator
11-01-002-00005-000486,contaminator,contaminator,contaminator
11-01-002-00005-000487,control,contaminator,contaminator
11-01-002-00005-000488,control,contaminator,contaminator
11-01-002-00005-000489,control,contaminator,contaminator
11-01-002-00005-000490,control,contaminator,contaminator
11-01-002-00005-000491,control,contaminator,contaminator
11-01-002-00005-000492,control,contaminator,contaminator
11-01-002-00005-000493,control,contaminator,contaminator
11-01-002-00005-000494,control,contaminator,contaminator
11-01-002-00005-000495,control,contaminator,contaminator
11-01-002-00005-000496,control,contaminator,contaminator
11-01-002-00005-000497,control,contaminator,contaminator
11-01-002-00005-000498,control,contaminator,contaminator
11-01-002-00005-000499,control,contaminator,contaminator
11-01-002-00005-000500,control,contaminator,contaminator
11-01-002-00005-000501,control,contaminator,contaminator
11-01-002-00005-000502,control,contaminator,contaminator
11-01-002-00005-000503,control,contaminator,contaminator
11-01-002-00005-000504,contaminator,contaminator,contaminator
11-01-002-00005-000506,contaminator,contaminator,contaminator
11-01-002-00005-000507,control,contaminator,contaminator
11-01-002-00005-000508,control,contaminator,contaminator
11-01-002-00005-000509,control,contaminator,contaminator
11-01-002-00005-000510,control,contaminator,contaminator
11-01-002-00005-000511,control,contaminator,contaminator
11-01-002-00005-000512,control,contaminator,contaminator
11-01-002-00005-000513,control,contaminator,contaminator
11-01-002-00005-000514,control,contaminator,contaminator
11-01-002-00005-000515,control,contaminator,contaminator
11-01-002-00005-000516,control,contaminator,contaminator
11-01-002-00005-000517,control,contaminator,contaminator
11-01-002-00005-000518,control,contaminator,contaminator
11-01-002-00005-000519,control,contaminator,contaminator
11-01-002-00005-000520,control,contaminator,contaminator
11-01-002-00005-000521,control,contaminator,contaminator
11-01-002-00005-000522,control,contaminator,contaminator
11-01-002-00005-800016,contaminator,contaminator,contaminator
11-01-002-00005-800017,control,contaminator,contaminator
11-01-002-00006-000524,contaminator,contaminator,contaminator
11-01-002-00006-000525,contaminator,contaminator,contaminator
11-01-002-00006-000526,contaminator,contaminator,contaminator
11-01-002-00006-000527,contaminator,contaminator,contaminator
11-01-002-00006-000529,control,contaminator,contaminator
11-01-002-00006-000530,contaminator,contaminator,contaminator
11-01-002-00006-000531,control,contaminator,contaminator
11-01-002-00006-000532,control,contaminator,contaminator
11-01-002-00006-000533,control,contaminator,contaminator
11-01-002-00006-000534,control,contaminator,contaminator
11-01-002-00006-000535,control,contaminator,contaminator
11-01-002-00006-000536,control,contaminator,contaminator
11-01-002-00006-000537,control,contaminator,contaminator
11-01-002-00006-000538,control,contaminator,contaminator
11-01-002-00006-000539,control,contaminator,contaminator
11-01-002-00006-000540,control,contaminator,contaminator
11-01-002-00006-000541,control,control,contaminator
11-01-002-00006-000542,control,contaminator,contaminator
11-01-002-00006-000543,control,control,contaminator
11-01-002-00006-000544,control,contaminator,contaminator
11-01-002-00006-000545,control,contaminator,contaminator
11-01-002-00006-000546,control,contaminator,contaminator
11-01-002-00006-000547,control,contaminator,contaminator
