"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"2072","11-29-584-05608-626355",2005,"626355",5346
"2073","11-29-584-05608-803240",99,"803240",NA
"2074","11-30-585-05609-626655",1986,"626655",585
"2075","11-30-585-05610-626689",1993,"626689",580
"2076","11-30-585-05610-803242",1973,"803242",582
"2077","11-30-585-05611-626729",1966,"626729",577
"2078","11-30-585-05611-803243",1982,"626731",568
"2079","11-30-585-05612-626744",99,"626744",NA
"2080","11-30-585-05612-803244",1977,"803244",581
"2081","11-30-585-05613-626809",1997,"626809",576
"2082","11-30-585-05614-626855",1980,"626855",578
"2083","11-30-585-05614-626859",1981,"626859",566
"2084","11-30-585-05614-626863",1996,"626863",573
"2085","11-30-585-05614-626864",99,"626864",NA
"2086","11-30-585-05614-626867",1994,"626867",574
"2087","11-30-586-05615-626886",1982,"626886",575
"2088","11-30-586-05616-626927",1977,"626927",572
"2089","11-30-586-05616-803250",1990,"803250",570
"2090","11-30-586-05617-803252",1982,"803252",571
"2091","11-30-586-05618-627000",2001,"627000",567
"2092","11-30-586-05619-627024",1984,"627024",569
"2093","11-31-587-05620-627030",99,"627030",NA
"2094","11-31-587-05623-627033",99,"627033",NA
"2095","11-31-587-05624-627034",99,"627034",NA
"2096","11-31-587-05626-627044",99,"627044",NA
"2097","11-31-587-05628-627054",99,"627054",NA
"2098","11-31-587-05629-627056",99,"627056",NA
"2099","11-32-588-05630-627092",1987,"627092",5325
"2100","11-32-588-05630-627102",99,"627102",NA
"2101","11-32-588-05630-627128",1987,"627128",5317
"2102","11-32-588-05630-627132",99,"627132",NA
"2103","11-32-588-05630-803255",99,"803255",NA
"2104","11-32-589-05632-627193",99,"627193",NA
"2105","11-32-589-05632-803258",99,"803258",NA
"2106","11-32-589-05633-627232",99,"627232",NA
"2107","11-32-589-05634-627269",99,"627269",NA
"2108","11-32-589-05634-627278",2010,"627278",5416
"2109","11-32-589-05634-627282",99,"627282",NA
"2110","11-32-589-05634-627283",99,"627283",NA
"2111","11-32-590-05636-627318",99,"627318",NA
"2112","11-32-590-05636-627319",99,"627319",NA
"2113","11-32-590-05637-803264",99,"803264",NA
"2114","11-32-591-05639-627375",99,"627375",NA
"2115","11-32-591-05639-627383",2010,"627383",4725
"2116","11-32-591-05639-627387",99,"627387",NA
"2117","11-32-591-05639-627392",99,"627392",NA
"2118","11-32-591-05640-627405",99,"627405",NA
"2119","11-32-591-05640-803267",99,"627424",NA
"2120","11-32-592-05641-627450",99,"627450",NA
"2121","11-32-592-05641-803268",99,"803268",NA
"2122","11-32-592-05645-627541",99,"627541",NA
"2123","11-32-592-05645-627542",99,"627542",NA
"2124","11-32-592-05645-627548",99,"627548",NA
"2125","11-32-592-05646-627564",99,"627564",NA
"2126","11-32-593-05647-627585",99,"627585",NA
"2127","11-32-593-05647-627587",99,"627587",NA
"2128","11-32-593-05647-627591",99,"627591",NA
"2129","11-32-593-05647-627594",99,"627594",NA
"2130","11-32-593-05647-627598",99,"627598",NA
"2131","11-32-593-05647-803273",99,"803273",NA
"2132","11-32-593-05649-627637",99,"627637",NA
"2133","11-32-593-05649-627646",2014,"627646",7789
"2134","11-32-593-05649-627647",99,"627647",NA
"2135","11-32-593-05649-627650",99,"627650",NA
"2136","11-32-593-05649-627651",99,"627651",NA
"2137","11-32-594-05652-627721",99,"627721",NA
"2138","11-32-594-05652-627726",99,"627726",NA
"2139","11-32-594-05652-627780",99,"627780",NA
"2140","11-32-594-05652-803277",99,"627738",NA
"2141","11-32-594-05654-627812",99,"627812",NA
"2142","11-32-594-05654-627826",99,"627826",NA
"2143","11-32-594-05654-627828",99,"627828",NA
