"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"100","11-05-067-00351-056095",2003,"056095",6732
"101","11-05-067-00352-056265",99,"056265",NA
"102","11-05-068-00353-056409",99,"056409",NA
"103","11-05-068-00353-056595",99,"056595",NA
"104","11-05-068-00354-056666",2003,"056666",6616
"105","11-05-068-00354-056675",99,"056675",NA
"106","11-05-068-00354-056727",2009,"056727",4120
"107","11-05-068-00354-800359",99,"800359",NA
"108","11-06-069-00356-057003",1982,"057003",6034
"109","11-06-069-00357-057053",99,"057053",NA
"110","11-06-069-00357-057069",99,"057069",NA
"111","11-06-070-00359-057381",1975,"057381",5759
"112","11-06-070-00360-057547",2001,"057547",5754
"113","11-06-071-00361-800369",1971,"800369",6030
"114","11-06-071-00362-058122",1997,"058122",5813
"115","11-06-074-00372-800381",2005,"800381",5809
"116","11-06-075-00375-059448",2008,"059448",5817
"117","11-06-076-00379-059734",1994,"059734",5815
"118","11-06-076-00380-059801",99,"059801",NA
"119","11-06-076-00380-059874",2001,"059874",5978
"120","11-06-076-00380-059908",1982,"059908",5824
"121","11-06-076-00381-059943",99,"059943",NA
"122","11-06-077-00382-800391",99,"800391",NA
"123","11-06-077-00383-060109",1977,"060109",6031
"124","11-06-078-00387-800397",1989,"800397",6035
"125","11-06-082-00406-061680",99,"061680",NA
"126","11-06-083-00408-800418",2006,"800418",5821
"127","11-06-083-00409-061811",99,"061811",NA
"128","11-06-083-00409-061814",99,"061814",NA
"129","11-06-083-00409-061871",2019,"061871",8241
"130","11-06-083-00409-061910",99,"061910",NA
"131","11-06-084-00412-800423",2007,"800423",5975
"132","11-06-085-00414-062590",2013,"062590",5977
"133","11-06-086-00418-800430",99,"800430",NA
"134","11-06-086-00419-062898",99,"062898",NA
"135","11-06-086-00419-062912",99,"062912",NA
"136","11-06-086-00420-062955",99,"062955",NA
"137","11-06-087-00422-063073",1981,"063073",5973
"138","11-06-087-00422-063092",99,"063092",NA
"139","11-06-088-00426-063522",1993,"063522",5812
"140","11-07-090-00431-800441",1970,"063906",4557
"141","11-08-099-00458-064467",99,"064467",NA
"142","11-08-099-00458-064519",99,"064519",NA
"143","11-08-099-00459-064728",99,"064728",NA
"144","11-08-099-00460-064935",99,"064935",NA
"145","11-08-099-00461-065276",99,"065276",NA
"146","11-08-099-00462-065656",99,"065656",NA
"147","11-08-099-00462-065703",99,"065703",NA
"148","11-08-099-00463-066363",99,"066363",NA
"149","11-08-099-00463-066364",99,"066364",NA
"150","11-08-099-00465-800453",99,"800453",NA
"151","11-08-100-00466-067297",99,"067297",NA
"152","11-08-100-00466-800454",1998,"800454",8357
"153","11-08-100-00468-067692",99,"067692",NA
"154","11-08-100-00468-067693",99,"067693",NA
"155","11-08-100-00469-800456",99,"800456",NA
"156","11-08-100-00470-068349",99,"068349",NA
"157","11-08-100-00471-800458",99,"800458",NA
"158","11-08-100-00472-068972",1989,"068972",579
"159","11-08-101-00473-069028",1993,"069028",8705
"160","11-08-101-00473-069047",1995,"069047",8517
"161","11-08-101-00473-069113",1979,"069113",8199
"162","11-08-101-00475-069286",1980,"069286",8226
"163","11-08-101-00476-069410",99,"069410",NA
"164","11-08-101-00477-069661",1990,"069661",8300
"165","11-08-101-00480-800463",1980,"800463",8200
"166","11-08-102-00481-070022",99,"070022",NA
"167","11-08-102-00482-800465",99,"800465",NA
"168","11-08-102-00483-800466",99,"800466",NA
"169","11-08-102-00484-800468",99,"800468",NA
"170","11-08-102-00485-800469",99,"800469",NA
"171","11-08-102-00486-800473",99,"800473",NA
"172","11-08-103-00487-071047",99,"071047",NA
"173","11-08-103-00488-800479",99,"800479",NA
"174","11-08-103-00489-071453",99,"071453",NA
"175","11-08-104-00493-071807",2015,"071807",7663
"176","11-08-104-00493-071817",1982,"071817",8572
"177","11-08-104-00493-071845",1992,"071845",9701
"178","11-08-104-00493-071850",2006,"071850",9685
"179","11-08-104-00493-071852",2005,"071852",9684
"180","11-08-104-00493-071853",2006,"071853",9702
"181","11-08-104-00493-071880",99,"071880",NA
"182","11-08-104-00493-071947",2000,"071947",8329
"183","11-08-104-00493-800486",1981,"800486",9749
"184","11-08-104-00496-072235",99,"072235",NA
"185","11-08-104-00496-072236",1997,"072236",8764
"186","11-08-104-00496-072238",99,"072238",NA
"187","11-08-104-00496-072258",2007,"072258",8222
"188","11-08-104-00496-072259",99,"072259",NA
"189","11-08-104-00496-072280",2015,"072280",8066
"190","11-08-104-00496-800487",99,"800487",NA
"191","11-08-104-00497-800489",99,"800489",NA
"192","11-08-104-00498-072574",99,"072574",NA
"193","11-08-104-00499-072807",99,"072807",NA
"194","11-08-104-00499-072808",99,"072808",NA
"195","11-08-104-00501-073101",99,"073101",NA
"196","11-08-104-00502-073380",99,"073380",NA
"197","11-08-104-00504-073820",1979,"073820",8250
"198","11-08-105-00506-074007",99,"074007",NA
"199","11-08-105-00508-074312",1988,"074312",8125
"200","11-08-105-00511-074712",99,"074712",NA
"201","11-08-105-00511-800498",99,"074722",NA
"202","11-08-105-00513-800501",1984,"800501",8134
"203","11-08-106-00515-075435",99,"075435",NA
"204","11-08-106-00516-075686",99,"075686",NA
"205","11-08-106-00518-075975",99,"075975",NA
"206","11-08-106-00518-076008",1996,"076008",9668
"207","11-08-106-00518-076041",99,"076041",NA
"208","11-08-107-00522-800506",99,"800506",NA
"209","11-08-107-00523-076714",99,"076714",NA
"210","11-08-107-00523-076761",99,"076761",NA
"211","11-08-108-00526-800508",1977,"800508",8149
"212","11-08-108-00531-077607",99,"077607",NA
"213","11-08-108-00531-800509",99,"800509",NA
"214","11-08-109-00533-077936",99,"077936",NA
"215","11-08-109-00534-078139",1994,"079019",9686
"216","11-08-109-00536-078471",99,"078471",NA
"217","11-08-109-00536-078550",99,"078549",NA
"218","11-08-109-00536-800511",99,"800511",NA
"219","11-08-109-00537-078784",99,"078784",NA
"220","11-08-110-00541-079400",99,"079400",NA
"221","11-08-110-00541-079407",2008,"079407",8863
"222","11-08-110-00541-079414",99,"079414",NA
"223","11-08-110-00541-079451",1985,"079451",8246
"224","11-08-110-00542-800519",99,"800519",NA
"225","11-08-110-00543-079745",99,"079745",NA
"226","11-08-110-00545-080032",2008,"080032",4157
"227","11-08-110-00545-080063",99,"080063",NA
"228","11-08-110-00545-080064",99,"080064",NA
"229","11-08-110-00545-080069",99,"080069",NA
"230","11-08-110-00545-080122",99,"080122",NA
"231","11-08-110-00545-080139",1995,"080139",8228
"232","11-08-110-00545-080153",1998,"080153",8346
"233","11-08-110-00545-080155",99,"080155",NA
"234","11-08-110-00545-080174",2015,"080174",7356
"235","11-08-110-00545-800521",1997,"800521",8256
"236","11-08-110-00546-080193",2000,"080193",8945
"237","11-08-110-00546-080247",1970,"080247",3684
"238","11-08-110-00546-800522",99,"800522",NA
"239","11-08-110-00547-080358",99,"080358",NA
"240","11-08-110-00547-080386",1997,"080386",8309
"241","11-08-110-00547-080406",99,"080406",NA
"242","11-08-110-00548-080485",99,"080485",NA
"243","11-08-110-00548-080604",99,"080604",NA
"244","11-08-110-00549-080883",99,"080883",NA
"245","11-08-110-00549-080899",99,"080899",NA
"246","11-08-110-00550-080911",99,"080911",NA
"247","11-08-110-00550-080980",99,"080980",NA
"248","11-08-110-00550-080995",99,"080995",NA
"249","11-08-111-00551-081258",99,"081258",NA
"250","11-08-111-00551-800524",99,"800524",NA
"251","11-08-111-00554-081777",2008,"081777",8365
"252","11-08-111-00555-081950",99,"081950",NA
"253","11-08-111-00555-082094",99,"082094",NA
"254","11-08-111-00555-082147",2000,"082147",8311
"255","11-08-111-00555-082169",99,"082169",NA
"256","11-08-111-00555-800530",99,"800530",NA
"257","11-08-111-00556-800532",99,"800532",NA
"258","11-08-112-00559-082732",99,"082732",NA
"259","11-08-112-00560-082872",99,"082872",NA
"260","11-08-112-00560-800535",1969,"800535",8762
"261","11-08-112-00562-800538",99,"800538",NA
"262","11-08-112-00564-083493",1976,"083493",8954
"263","11-08-112-00564-800539",2002,"800539",8788
"264","11-08-113-00567-084024",99,"084024",NA
"265","11-08-113-00567-084030",99,"084030",NA
"266","11-08-113-00567-084103",99,"084103",NA
"267","11-08-113-00567-084200",99,"084200",NA
"268","11-08-113-00567-084346",99,"084345",NA
"269","11-08-113-00567-800543",99,"800543",NA
"270","11-08-113-00568-084668",99,"084668",NA
"271","11-08-113-00568-084714",99,"084714",NA
"272","11-08-113-00569-084820",99,"084820",NA
"273","11-08-113-00570-084941",99,"084941",NA
"274","11-08-113-00570-800544",99,"800544",NA
"275","11-08-113-00572-085536",1991,"085536",9775
"276","11-08-113-00572-085544",99,"085542",NA
"277","11-08-113-00572-085672",99,"085672",NA
"278","11-08-114-00574-086086",1984,"086086",8847
"279","11-08-114-00574-086120",1984,"086120",9624
"280","11-08-114-00574-800547",1984,"800547",8854
"281","11-08-114-00575-800548",1984,"800548",8852
"282","11-08-114-00576-086594",99,"086594",NA
"283","11-08-115-00577-086797",99,"086797",NA
"284","11-08-115-00577-086835",99,"086835",NA
"285","11-08-115-00579-087260",99,"087260",NA
"286","11-08-115-00579-800549",1980,"800549",9750
"287","11-08-115-00580-087550",99,"087550",NA
"288","11-08-115-00580-087616",1997,"087616",8480
"289","11-08-115-00582-800550",1990,"800550",8587
"290","11-08-115-00584-088647",99,"088647",NA
"291","11-08-116-00587-089266",99,"089266",NA
"292","11-08-116-00587-800551",1990,"800551",9677
"293","11-08-116-00588-089392",99,"089392",NA
"294","11-08-116-00588-800552",99,"800552",NA
"295","11-08-116-00590-800553",1984,"800553",8526
"296","11-08-117-00592-089908",99,"089908",NA
"297","11-08-117-00592-089910",99,"089910",NA
"298","11-08-117-00592-800554",99,"089907",NA
"299","11-08-117-00593-800555",99,"800555",NA
"300","11-08-117-00594-090108",99,"090108",NA
"301","11-08-117-00594-090109",1986,"090109",8839
"302","11-08-117-00594-090120",99,"090120",NA
"303","11-08-117-00594-800556",99,"800556",NA
"304","11-08-117-00595-090198",99,"090198",NA
"305","11-08-117-00595-090201",2000,"090201",9656
"306","11-08-117-00595-090219",99,"090219",NA
"307","11-08-117-00596-090310",99,"090310",NA
"308","11-08-118-00598-090471",99,"090471",NA
"309","11-08-118-00598-090513",99,"090513",NA
"310","11-08-118-00598-090569",99,"090569",NA
"311","11-08-118-00599-800560",1975,"800560",9782
"312","11-08-118-00601-800561",1985,"800561",8523
"313","11-08-118-00602-090921",99,"090921",NA
"314","11-08-118-00604-091205",99,"091205",NA
"315","11-08-118-00604-091265",99,"091265",NA
"316","11-08-118-00604-800565",1981,"800565",8532
"317","11-08-118-00605-091281",99,"091281",NA
"318","11-08-119-00606-091432",2014,"091432",4184
"319","11-08-119-00606-091483",99,"091483",NA
"320","11-08-119-00606-091485",2006,"091485",4115
"321","11-08-119-00606-800568",1997,"800568",8837
"322","11-08-119-00607-091573",99,"091573",NA
"323","11-08-119-00607-091576",99,"091576",NA
"324","11-08-119-00607-091619",99,"091619",NA
"325","11-08-119-00608-091660",99,"091660",NA
"326","11-08-119-00609-091739",99,"091739",NA
"327","11-08-119-00609-091795",99,"091795",NA
"328","11-08-119-00610-092035",99,"092035",NA
"329","11-08-119-00610-092086",99,"092086",NA
"330","11-08-119-00610-800572",99,"800572",NA
"331","11-08-119-00611-092097",99,"092097",NA
"332","11-08-119-00611-092133",99,"092133",NA
"333","11-08-119-00612-092263",99,"092263",NA
"334","11-08-119-00613-800574",99,"800574",NA
"335","11-08-119-00614-092475",99,"092475",NA
"336","11-08-119-00614-800575",99,"800575",NA
"337","11-08-120-00615-092575",99,"092575",NA
"338","11-08-120-00615-092598",99,"092598",NA
"339","11-08-120-00616-092682",99,"092682",NA
"340","11-08-120-00617-092862",99,"092862",NA
"341","11-08-120-00617-800577",1978,"800577",8140
"342","11-08-120-00619-093170",99,"093170",NA
"343","11-08-120-00620-800580",99,"800580",NA
"344","11-08-120-00621-800581",99,"800581",NA
"345","11-08-121-00622-093864",99,"093864",NA
"346","11-08-121-00624-800583",1978,"800583",8342
"347","11-08-121-00626-094297",2001,"094297",8548
"348","11-08-121-00626-094509",99,"094509",NA
"349","11-08-121-00626-800587",1970,"800587",8107
"350","11-08-122-00627-094753",99,"094753",NA
"351","11-08-122-00628-094820",99,"094820",NA
"352","11-08-122-00629-094933",99,"094933",NA
"353","11-08-122-00634-095564",99,"095564",NA
"354","11-08-122-00634-095575",99,"095575",NA
"355","11-08-122-00634-095616",99,"095616",NA
"356","11-08-122-00634-095630",99,"095629",NA
"357","11-08-122-00634-800592",99,"800592",NA
"358","11-08-122-00636-800593",99,"800593",NA
"359","11-08-122-00637-096158",99,"096158",NA
"360","11-08-122-00638-096393",99,"096393",NA
"361","11-08-123-00639-096498",99,"096498",NA
"362","11-08-123-00644-097143",99,"097141",NA
"363","11-08-124-00646-097474",1993,"097474",9613
"364","11-08-124-00646-800599",99,"800599",NA
"365","11-08-125-00650-098572",99,"098572",NA
"366","11-08-125-00654-099743",99,"099743",NA
"367","11-08-125-00654-099858",99,"099858",NA
"368","11-08-126-00656-100077",99,"100077",NA
"369","11-08-126-00656-100164",99,"100164",NA
"370","11-08-126-00659-100680",99,"100680",NA
"371","11-08-126-00659-800605",99,"800605",NA
"372","11-08-126-00660-800606",99,"800606",NA
"373","11-08-126-00663-800607",99,"800607",NA
"374","11-08-127-00667-800609",1970,"800609",9748
"375","11-08-127-00668-102235",99,"102235",NA
"376","11-08-127-00668-102276",1972,"102276",9692
"377","11-08-127-00668-102334",99,"102334",NA
"378","11-08-127-00669-102491",99,"102491",NA
"379","11-08-128-00672-102746",2005,"102746",8549
"380","11-08-128-00672-102749",99,"102749",NA
"381","11-08-128-00675-103284",99,"103284",NA
"382","11-08-128-00676-800616",99,"800616",NA
"383","11-08-129-00679-104080",99,"104080",NA
"384","11-08-129-00679-104081",99,"104081",NA
"385","11-08-129-00679-800617",1994,"800617",8351
"386","11-08-129-00679-800618",99,"800618",NA
"387","11-08-129-00680-800619",99,"800619",NA
"388","11-08-129-00682-800620",99,"800620",NA
"389","11-08-130-00685-105491",99,"105490",NA
"390","11-08-130-00685-105549",1980,"105549",8709
"391","11-08-130-00689-106436",99,"106436",NA
"392","11-08-130-00689-106477",2011,"106477",8074
"393","11-08-131-00699-800628",99,"800628",NA
"394","11-09-132-00702-109573",99,"109573",NA
"395","11-09-133-00710-111191",99,"111191",NA
"396","11-09-135-00720-115320",99,"115320",NA
"397","11-09-136-00723-116282",99,"116282",NA
"398","11-09-136-00726-800695",99,"800695",NA
"399","11-09-139-00736-119419",99,"119419",NA
"400","11-09-140-00739-119687",99,"119687",NA
"401","11-09-140-00739-800734",99,"800734",NA
"402","11-09-140-00739-800735",99,"800735",NA
"403","11-09-141-00742-120118",2006,"120118",5763
"404","11-09-141-00742-120136",99,"120136",NA
"405","11-09-141-00742-120179",99,"120179",NA
"406","11-09-141-00742-120187",99,"120187",NA
"407","11-09-141-00742-120220",99,"120220",NA
"408","11-09-141-00742-120222",99,"120222",NA
"409","11-09-141-00742-120223",99,"120223",NA
"410","11-09-141-00742-120224",99,"120224",NA
"411","11-09-141-00742-120227",2005,"120227",5765
"412","11-09-141-00743-120247",99,"120247",NA
"413","11-09-141-00743-120250",99,"120250",NA
"414","11-09-141-00743-120260",99,"120260",NA
"415","11-09-141-00743-120265",99,"120265",NA
"416","11-09-141-00743-120325",99,"120325",NA
"417","11-09-141-00743-120331",99,"120331",NA
"418","11-09-141-00744-120375",2020,"120375",5505
"419","11-09-141-00744-120379",99,"120379",NA
"420","11-09-141-00744-120396",2020,"120396",5504
"421","11-09-141-00744-800743",99,"800743",NA
"422","11-09-142-00745-120482",99,"120482",NA
"423","11-09-142-00745-120486",99,"120486",NA
"424","11-09-142-00751-121561",99,"121561",NA
"425","11-09-142-00751-121653",99,"121653",NA
"426","11-09-143-00752-121837",99,"121837",NA
"427","11-09-143-00755-122461",99,"122461",NA
"428","11-09-143-00755-122712",99,"122712",NA
"429","11-09-143-00755-800767",1992,"800767",6938
"430","11-09-144-00758-123150",99,"123150",NA
"431","11-09-145-00761-123591",99,"123591",NA
"432","11-09-145-00761-123592",99,"123592",NA
"433","11-09-146-00766-124574",99,"124574",NA
"434","11-09-146-00767-124847",99,"124847",NA
"435","11-09-147-00772-125541",99,"125541",NA
"436","11-09-148-00777-126748",99,"126748",NA
"437","11-09-149-00778-127208",99,"127208",NA
"438","11-09-150-00784-129184",99,"129184",NA
"439","11-09-150-00787-800866",99,"800866",NA
"440","11-09-152-00795-134252",99,"134252",NA
"441","11-09-152-00795-134433",99,"134433",NA
"442","11-09-153-00801-136290",99,"136290",NA
"443","11-09-154-00803-137326",99,"137326",NA
"444","11-09-154-00804-137474",99,"137474",NA
"445","11-09-155-00813-140934",99,"140934",NA
"446","11-09-155-00813-141034",99,"141034",NA
"447","11-09-156-00816-142162",99,"142162",NA
"448","11-09-156-00816-142196",99,"142196",NA
"449","11-09-156-00816-142264",99,"142264",NA
"450","11-09-156-00816-142284",99,"142284",NA
"451","11-09-156-00816-800940",99,"800940",NA
"452","11-09-157-00820-143326",99,"143326",NA
"453","11-09-157-00821-800952",99,"800952",NA
"454","11-09-158-00823-800957",99,"800957",NA
"455","11-09-158-00824-144122",99,"144122",NA
"456","11-09-158-00824-800958",99,"800958",NA
"457","11-09-158-00826-144836",99,"144836",NA
"458","11-09-158-00829-145404",99,"145404",NA
"459","11-09-158-00829-145446",99,"145446",NA
"460","11-09-158-00829-145512",99,"145512",NA
"461","11-09-158-00829-800963",99,"800963",NA
"462","11-09-159-00832-146353",99,"146353",NA
"463","11-09-160-00835-147297",99,"147297",NA
"464","11-09-162-00842-148600",99,"148600",NA
"465","11-09-163-00845-149335",99,"149335",NA
"466","11-09-163-00845-149387",99,"149387",NA
"467","11-09-163-00845-149428",99,"149428",NA
"468","11-09-163-00845-149454",99,"149454",NA
"469","11-09-164-00849-150572",99,"150572",NA
"470","11-09-165-00854-151668",99,"151668",NA
"471","11-09-166-00857-152275",99,"152275",NA
"472","11-09-167-00862-153104",99,"153104",NA
"473","11-09-168-00864-801040",99,"801040",NA
"474","11-09-170-00871-154977",99,"154977",NA
"475","11-09-170-00873-801056",99,"801056",NA
"476","11-09-171-00875-155575",99,"155575",NA
"477","11-09-171-00876-156085",99,"156085",NA
"478","11-09-172-00877-156323",99,"156323",NA
"479","11-09-173-00882-158994",99,"158994",NA
"480","11-09-175-00892-162370",99,"162370",NA
"481","11-09-176-00896-163924",99,"163924",NA
"482","11-09-176-00896-163926",99,"163926",NA
"483","11-09-177-00904-166271",99,"166271",NA
"484","11-09-177-00904-166280",99,"166280",NA
"485","11-09-179-00912-168687",99,"168687",NA
"486","11-09-179-00912-168754",99,"168754",NA
"487","11-09-179-00912-168755",99,"168755",NA
"488","11-09-179-00912-168959",99,"168959",NA
"489","11-09-179-00913-169110",99,"169110",NA
"490","11-09-179-00913-169163",99,"169163",NA
"491","11-09-179-00914-169498",99,"169498",NA
"492","11-09-185-00939-180549",99,"180549",NA
"493","11-09-186-00942-182820",99,"182820",NA
"494","11-09-188-00949-185343",99,"185343",NA
"495","11-09-188-00950-185448",99,"185448",NA
"496","11-09-190-00960-190715",99,"190715",NA
"497","11-09-192-00973-196965",99,"196965",NA
"498","11-09-194-00985-202977",99,"202977",NA
"499","11-09-197-00996-209548",99,"209548",NA
"500","11-09-201-01008-214908",99,"214908",NA
"501","11-10-203-01014-216298",99,"216298",NA
"502","11-10-203-01025-217181",99,"217181",NA
"503","11-10-203-01028-217363",99,"217363",NA
"504","11-10-204-01031-217479",99,"217479",NA
"505","11-10-204-01057-218710",99,"218710",NA
"506","11-10-206-01074-219579",99,"219579",NA
"507","11-10-207-01094-220489",1978,"220489",7513
"508","11-10-207-01097-801300",99,"801300",NA
"509","11-10-209-01113-221614",99,"221614",NA
"510","11-10-210-01127-222937",99,"222937",NA
"511","11-10-210-01127-801310",99,"801310",NA
"512","11-10-211-01128-801311",99,"801311",NA
"513","11-10-211-01134-801312",99,"801312",NA
"514","11-10-212-01151-801314",99,"225482",NA
"515","11-10-213-01164-801317",99,"801317",NA
"516","11-10-213-01167-226125",99,"226125",NA
"517","11-10-214-01174-801318",99,"801318",NA
"518","11-10-215-01184-801319",99,"801319",NA
"519","11-10-215-01189-227382",99,"227382",NA
"520","11-10-215-01189-227385",99,"227385",NA
"521","11-10-216-01200-228111",2022,"228111",8460
"522","11-10-216-01200-228112",99,"228112",NA
"523","11-10-216-01200-228126",99,"228126",NA
"524","11-10-216-01200-228145",99,"228145",NA
"525","11-10-216-01200-228174",99,"228174",NA
"526","11-10-216-01200-801322",99,"801322",NA
"527","11-10-216-01212-801324",1979,"801324",7511
"528","11-10-218-01230-231381",99,"231381",NA
"529","11-10-220-01278-801338",1982,"801338",7551
"530","11-10-221-01288-236551",99,"236551",NA
"531","11-10-222-01312-238024",99,"238024",NA
"532","11-10-223-01324-238641",2014,"238641",3828
"533","11-10-223-01327-238715",99,"238715",NA
"534","11-10-224-01336-239204",99,"239204",NA
"535","11-10-224-01338-239342",1978,"239342",7556
"536","11-10-226-01356-242568",99,"242568",NA
"537","11-10-226-01356-801357",99,"801357",NA
"538","11-10-226-01358-801358",99,"801358",NA
"539","11-10-227-01368-243590",99,"243590",NA
"540","11-10-229-01386-801364",99,"801364",NA
"541","11-10-230-01400-801373",1973,"245296",7514
"542","11-10-230-01403-245417",2013,"245417",7516
"543","11-10-230-01403-245418",99,"245418",NA
"544","11-10-230-01404-245529",99,"245529",NA
"545","11-10-230-01411-246150",1973,"246150",7549
"546","11-10-231-01424-246944",99,"246944",NA
"547","11-10-231-01427-801387",99,"801387",NA
"548","11-10-232-01441-248240",99,"248240",NA
"549","11-10-234-01461-801394",99,"801394",NA
"550","11-10-234-01473-801398",99,"801398",NA
"551","11-10-235-01481-253479",99,"253479",NA
"552","11-10-235-01481-801401",99,"801401",NA
"553","11-10-235-01482-253650",99,"253650",NA
"554","11-10-236-01505-256506",99,"256506",NA
"555","11-10-237-01512-257561",99,"257561",NA
"556","11-10-239-01536-801413",99,"801413",NA
"557","11-14-278-01885-270272",2017,"270272",6904
"558","11-14-279-01888-270413",99,"270413",NA
"559","11-16-289-01931-272000",2009,"272000",3272
"560","11-16-289-01932-272024",2011,"272024",4628
"561","11-16-290-01941-272233",99,"272233",NA
"562","11-16-290-01948-272417",1998,"272417",3248
"563","11-16-290-99999-801528",99,"272315",NA
"564","11-16-292-01954-272612",99,"272612",NA
"565","11-17-297-01985-277485",99,"277485",NA
"566","11-17-297-01987-277772",99,"277772",NA
"567","11-18-300-02003-280013",99,"280013",NA
"568","11-18-301-02007-280809",99,"280809",NA
"569","11-18-301-02012-281759",99,"281759",NA
"570","11-18-303-02024-283309",99,"283309",NA
"571","11-18-305-02031-284184",99,"284184",NA
"572","11-18-305-02035-284701",99,"284701",NA
"573","11-18-306-02042-285968",2008,"285968",7457
"574","11-18-306-02043-286341",99,"286341",NA
"575","11-18-307-02048-287401",99,"287401",NA
"576","11-18-309-02061-290523",99,"290523",NA
"577","11-18-309-02061-290539",99,"290539",NA
"578","11-18-309-02061-290602",99,"290602",NA
"579","11-18-312-02080-293931",99,"293931",NA
"580","11-18-313-02085-294441",99,"294441",NA
"581","11-18-316-02097-299382",99,"299382",NA
"582","11-18-317-02101-299985",99,"299985",NA
"583","11-18-317-02102-300232",99,"300232",NA
"584","11-18-319-02110-301325",99,"301325",NA
"585","11-18-321-02118-302567",99,"302567",NA
"586","11-18-321-02120-302758",99,"302758",NA
"587","11-18-321-02120-302759",2007,"302759",7439
"588","11-18-321-02121-302869",99,"302869",NA
"589","11-18-321-02125-303296",99,"303296",NA
"590","11-18-322-02126-303427",99,"303427",NA
"591","11-18-322-02131-303615",99,"303615",NA
"592","11-18-323-02132-303636",2013,"303636",4082
"593","11-18-323-02132-801628",99,"801628",NA
"594","11-18-323-02136-303914",2009,"303914",4442
"595","11-18-323-02136-303978",99,"303978",NA
"596","11-18-325-02147-304875",99,"304875",NA
"597","11-18-325-02147-304965",2014,"304965",3512
"598","11-18-325-02148-305025",99,"305025",NA
"599","11-18-325-02149-305339",99,"305339",NA
"600","11-19-333-02227-314025",2010,"314025",3770
"601","11-19-337-02323-323069",99,"323069",NA
"602","11-19-337-99999-801705",99,"801705",NA
"603","11-19-338-02339-324183",99,"324183",NA
"604","11-19-341-99999-801740",99,"801740",NA
"605","11-19-342-99999-801742",99,"801742",NA
"606","11-19-343-02427-334405",99,"334405",NA
"607","11-19-343-02427-334418",99,"334418",NA
"608","11-20-346-02509-347736",99,"347736",NA
"609","11-20-348-02527-801767",99,"801767",NA
"610","11-20-349-02539-352019",99,"352019",NA
"611","11-20-350-02545-352981",99,"352981",NA
"612","11-20-350-02545-352983",99,"352983",NA
"613","11-20-350-02545-353051",99,"353051",NA
"614","11-20-350-02545-353052",99,"353052",NA
"615","11-20-350-02545-353089",99,"353089",NA
"616","11-20-350-02545-353091",99,"353091",NA
"617","11-20-350-02550-354526",99,"354526",NA
"618","11-20-351-02562-357521",99,"357521",NA
"619","11-20-351-02562-357523",99,"357523",NA
"620","11-20-352-02569-359221",99,"359221",NA
"621","11-20-352-02571-359386",99,"359386",NA
"622","11-20-354-02582-361556",99,"361556",NA
"623","11-20-354-02583-361733",99,"361733",NA
"624","11-20-354-02583-361745",99,"361745",NA
"625","11-20-354-02583-361750",99,"361750",NA
"626","11-20-354-02587-362071",99,"362071",NA
"627","11-20-355-02595-362605",99,"362605",NA
"628","11-20-355-02595-362724",99,"362724",NA
"629","11-20-355-02596-362828",99,"362828",NA
"630","11-20-355-02596-362854",99,"362854",NA
"631","11-20-356-02601-801779",99,"801779",NA
"632","11-20-357-02607-363470",99,"363470",NA
"633","11-20-357-02607-363544",99,"363544",NA
"634","11-20-357-02609-363915",99,"363915",NA
"635","11-20-357-02614-364901",99,"364901",NA
"636","11-20-357-02614-364902",99,"364902",NA
"637","11-20-357-02614-364918",99,"364918",NA
"638","11-20-358-02633-366659",99,"366659",NA
"639","11-20-360-02645-368008",99,"368008",NA
"640","11-20-360-02653-368492",99,"368492",NA
"641","11-20-360-02653-368568",99,"368568",NA
"642","11-20-360-02653-801788",99,"801788",NA
"643","11-20-360-02657-368803",99,"368803",NA
"644","11-20-361-02660-368954",99,"368954",NA
"645","11-20-361-02660-369009",99,"369009",NA
"646","11-20-361-02660-369012",99,"369012",NA
"647","11-20-361-02662-369122",99,"369122",NA
"648","11-20-362-02666-369392",99,"369392",NA
"649","11-20-362-02666-369487",99,"369487",NA
"650","11-20-362-02667-369632",99,"369632",NA
"651","11-20-362-02667-369702",99,"369702",NA
"652","11-20-362-02667-369935",99,"369935",NA
"653","11-20-362-02668-370235",99,"370235",NA
"654","11-20-362-02670-370677",99,"370677",NA
"655","11-20-362-02671-370818",99,"370818",NA
"656","11-20-362-02671-370819",99,"370819",NA
"657","11-20-362-02673-371519",99,"371519",NA
"658","11-20-362-02675-372151",99,"372151",NA
"659","11-20-363-02678-372701",99,"372701",NA
"660","11-20-363-02678-372737",99,"372737",NA
"661","11-20-363-02678-801793",99,"801793",NA
"662","11-20-364-02682-373414",99,"373414",NA
"663","11-20-364-02685-373577",99,"373577",NA
"664","11-20-364-02685-373590",99,"373590",NA
"665","11-20-364-02685-373593",99,"373593",NA
"666","11-20-364-02685-373597",99,"373597",NA
"667","11-20-364-02685-373657",99,"373657",NA
"668","11-20-364-02686-373659",99,"373659",NA
"669","11-20-364-02686-373666",99,"373666",NA
"670","11-20-364-02686-373711",99,"373711",NA
"671","11-20-364-02690-374048",99,"374048",NA
"672","11-20-364-02690-374058",99,"374058",NA
"673","11-20-364-02692-374112",99,"374112",NA
"674","11-20-364-02694-374278",99,"374278",NA
"675","11-20-364-02697-374398",99,"374398",NA
"676","11-20-365-02704-801796",99,"801796",NA
